id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
40604,SK-526,small_airport,"San Carlos-Planas Airport",4.033333,-70.833333,449,SA,Colombia,CO,"Vichada Department",CO-VID,VID,"Santa Rosalìa",0,,,,SCS,,,,50,2009-10-20T10:46:06+00:00
40606,SK-513,small_airport,"Cumachagua Airport",4.016667,-70.883333,433,SA,Colombia,CO,"Vichada Department",CO-VID,VID,"Santa Rosalìa",0,,,,CAV,,,,50,2009-10-20T10:46:05+00:00
316777,SKSL,small_airport,"Santa Rosalia Airport",5.1309,-70.8682,400,SA,Colombia,CO,"Vichada Department",CO-VID,VID,"Santa Rosalia",0,SKSL,SKSL,SSL,,,https://en.wikipedia.org/wiki/Santa_Rosal%C3%ADa_Airport,,50,2024-05-16T20:31:07+00:00
40954,SK-017,small_airport,"Rancho Ae Airport",6.522222,-75.808056,1479,SA,Colombia,CO,"Antioquía Department",CO-ANT,ANT,"Santafe De Antioquía",0,,,,RAN,,,,50,2009-10-20T10:45:28+00:00
40859,SK-260,small_airport,"El Edén Airport",9.519722,-74.339167,165,SA,Colombia,CO,"Magdalena Department",CO-MAG,MAG,Santana,0,,,,STA,,,,50,2009-10-20T10:45:46+00:00
41061,SK-245,small_airport,"Santana Ramos Airport",2.216667,-75.25,6017,SA,Colombia,CO,"Huila Department",CO-HUI,HUI,"Santana Ramos",0,,,SRO,SRO,,,,50,2015-06-07T02:46:41+00:00
40844,SK-035,small_airport,"Millan Airport",7.928889,-73.967222,176,SA,Colombia,CO,"Bolívar Department",CO-BOL,BOL,Simiti,0,,,,STI,,,,50,2009-10-20T10:45:30+00:00
6162,SKSO,small_airport,"Alberto Lleras Camargo Airport",5.67732,-72.9703,8155,SA,Colombia,CO,"Boyacá Department",CO-BOY,BOY,Sogamoso,0,SKSO,SKSO,SOX,SOX,,https://en.wikipedia.org/wiki/Alberto_Lleras_Camargo_Airport,,50,2024-05-16T20:31:27+00:00
41062,SK-046,small_airport,"Solano Airport",0.702022,-75.2505,860,SA,Colombia,CO,"Caquetá Department",CO-CAQ,CAQ,Solano,0,,,SQF,SQF,,,,50,2015-05-29T02:13:50+00:00
41024,SK-348,small_airport,"Solita Airport",3.016667,-71.75,652,SA,Colombia,CO,"Meta Department",CO-MET,MET,Solita,0,,,SOH,SOH,,,,50,2015-05-28T00:57:18+00:00
40951,SK-024,small_airport,"Sopetran Airport",6.498056,-75.785278,1609,SA,Colombia,CO,"Antioquía Department",CO-ANT,ANT,Sopetran,0,,,,SOP,,,,50,2009-10-20T10:45:28+00:00
40943,SK-043,small_airport,"Vegas Del Rio Airport",5.441667,-75.65,3762,SA,Colombia,CO,"Caldas Department",CO-CAL,CAL,Supia,0,,,,VDR,,,,50,2009-10-20T10:45:30+00:00
41041,SK53,small_airport,"Yaguarito Airport",3.88,-73.339996,836,SA,Colombia,CO,"Meta Department",CO-MET,MET,Surimena,0,SK53,,,SK53,,,,50,2009-10-20T10:46:06+00:00
40671,SK-129,small_airport,"Tablón De Tamara Airport",5.726667,-72.100556,1605,NA,Colombia,CO,"Casanare Department",CO-CAS,CAS,"Tablón De Tamara",0,SQUJ,,TTM,TTM,,https://en.wikipedia.org/wiki/Tabl%C3%B3n_de_Tamar%C3%A1_Airport,,50,2024-04-03T19:46:35+00:00
40566,SK-499,small_airport,"Taraira Airport",0.5675,-69.637222,492,SA,Colombia,CO,"Vaupés Department",CO-VAU,VAU,Taraira,0,,,,TAR,,,,50,2009-10-20T10:46:04+00:00
323816,CO-0057,small_airport,"Taraira Airstrip",-0.56784,-69.638809,,SA,Colombia,CO,"Vaupés Department",CO-VAU,VAU,Taraira,0,,,,,,,,50,2017-06-12T13:15:26+00:00
40694,SK-092,small_airport,"La Envidia Airport",4.413333,-72.570556,550,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Tauramena,0,,,,TRE,,,,50,2009-10-20T10:45:32+00:00
40696,SK-117,small_airport,"Providencia Airport",4.971389,-72.595833,751,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Tauramena,0,,,,TNU,,,,50,2009-10-20T10:45:34+00:00
40698,SK-060,small_airport,"Cusiana Airport",4.973889,-72.636667,847,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Tauramena,0,,,,CUS,,,,50,2009-10-20T10:45:30+00:00
40699,SK-090,small_airport,"La Concordia Airport",4.930833,-72.641389,791,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Tauramena,0,,,,TRM,,,,50,2009-10-20T10:45:32+00:00
40701,SK-130,small_airport,"Tarqui Airport",4.755556,-72.699167,702,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Tauramena,0,,,,TMA,,,,50,2009-10-20T10:45:35+00:00
41031,SKTA,small_airport,"Tauramena Airport",5.01281,-72.7424,1462,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Tauramena,0,SKTA,SKTA,TAU,TAU,,,,50,2013-03-31T17:28:41+00:00
40925,SK-241,small_airport,"San Diego Airport",3.066667,-75.1875,1747,SA,Colombia,CO,"Huila Department",CO-HUI,HUI,Tello,0,,,,TLO,,,,50,2009-10-20T10:45:44+00:00
40937,SK-247,small_airport,"Tesalia Airport",2.456389,-75.450278,5252,SA,Colombia,CO,"Huila Department",CO-HUI,HUI,Tesalia,0,,,,TES,,,,50,2009-10-20T10:45:45+00:00
